Comment,Designator,Footprint,LCSC Part #
"12pF","C1,C2","0201_C","C338042"
"1.0uF","C14,C15","0402_C","C83063"
"12pF","C17,C16","0402_C","C76700"
"4.7uF","C19,C18,C6,C20","0201_C","C253012"
"10uF","C24,C23","0402_C","C162167"
"10nF","C25","0201_C","C312127"
"0.8pF","C3","0201_C","C364213"
"0.5pF","C4","0201_C","C180281"
"100nF","C5,C12,C11,C8,C7","0201_C","C76937"
"820pF","C9","0201_C","C311850"
"PMEG3010EB","D1","SOD523","C455044"
"USB-C","J1","SMD","C168688"
"4.7nH","L1","0201_L","C280974"
"15nH","L3","0402_L","C433010"
"10nH","L4,L2","0402_L","C76745"
"DMP2088LCP3-7","Q1","X2-DSN1006-3","C461063"
"DMN3110LCP3-7","Q2","X2-DSN1006-3","C443826"
"5.1K","R1,R2","0201_R","C158467"
"100K","R3","0201_R","C334596"
"10M","R4","0201_R","C469663"
"4.7K","R5","0201_R","C142008"
"10K","R6","0201_R","C102690"
"4.3M","R7","0201_R","C102690"
"1K","R8","0201_R","C304500"
"nRF52840-QIAA","U1","AQFN-73","C190794"
"MCP73831-2-OT","U2","SOT-23-5","C14879"
"32MHz","X1","SMD-2016_4P","C341819"
"32.768kHz","X2","SMD-2012_2P","C99009"
