Designator,MidX,MidY,Layer,Rotation
C1,30.212,-44.708,top,180
C2,30.4,-40.644,top,0
C3,25.955,-42.676,top,0
C4,25.955,-44.962,top,180
C5,27.352,-33.085,top,90
C6,20.24,-32.135,top,180
C7,19.859,-38.612,top,180
C8,19.859,-41.533,top,180
C9,23.923,-44.073,top,270
C10,27.352,-43.311,top,270
C11,28.114,-43.311,top,90
C12,29.257,-40.263,top,270
C13,30.4,-39.882,top,0
C14,28.241,-32.897,top,90
C15,29.257,-35.46,top,270
C16,25.932,-30.738,top,0
C17,24.558,-32.389,top,90
C18,20.24,-32.897,top,180
C19,19.859,-34.802,top,180
C20,19.859,-35.564,top,180
C22,30.212,-45.47,top,0
C23,20.367,-29.087,top,180
C24,22.272,-28.071,top,90
C25,22.526,-32.262,top,180
D1,20.367,-27.117,top,90
L1,25.574,-43.819,top,270
L2,29.765,-33.786,top,180
L3,30.273,-35.46,top,90
L4,20.263,-33.786,top,0
Q1,20.367,-30.738,top,270
Q2,29.511,-27.817,top,0
R1,22.526,-25.658,top,0
R2,27.225,-25.658,top,180
R3,27.225,-29.087,top,270
R4,22.526,-31.5,top,180
R5,28.241,-30.992,top,270
R6,27.225,-27.502,top,270
R7,22.526,-30.738,top,0
R8,29.511,-28.706,top,180
U1,24.685,-38.358,top,270
U2,24.939,-28.198,top,90
X1,29.765,-42.676,top,270
X2,25.955,-32.581,top,90
